ID,Brand,Model,Price_INR,Launch_Year,OS,Processor,GPU,RAM_GB,Storage_GB,Expandable_Storage,Display_Size_Inches,Display_Type,Resolution,Refresh_Rate_Hz,Battery_mAh,Fast_Charging_Watts,Wireless_Charging,Primary_Camera_MP,UltraWide_Camera_MP,Telephoto_Camera_MP,Front_Camera_MP,Video_Recording,5G_Support,Dual_SIM,Bluetooth_Version,WiFi_Version,NFC,Fingerprint_Type,Build_Type,Weight_grams,IP_Rating
11,Apple,Apple Pro 11,48495,2022,iOS 16,Exynos 2200,Adreno 740,16,1024,Yes,6.8,OLED,1440x3200,120,5000,33,No,64,50,12,32,4K@30fps,No,No,5.3,WiFi 6,No,Side-mounted,Metal Frame Glass Back,207,IP53
12,Vivo,Vivo Pro 12,60036,2020,Android 14,Dimensity 920,Apple GPU,6,256,Yes,6.4,Super AMOLED,1440x3200,120,4500,33,Yes,48,50,12,50,1080p@60fps,No,Yes,5.3,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,189,No Rating
13,Nokia,Nokia Pro 13,146264,2023,iOS 16,A16 Bionic,Apple GPU,6,64,No,6.1,LTPO AMOLED,720x1600,120,5000,120,No,64,16,32,16,4K@30fps,Yes,No,5,WiFi 6,No,In-display,"Glass Front, Plastic Back",186,IP68
14,Nokia,Nokia Pro 14,121958,2023,iOS 16,Dimensity 8200,Mali-G710,8,128,No,6.8,LTPO AMOLED,1080x2400,90,5000,45,Yes,108,50,8,16,4K@60fps,Yes,Yes,5,WiFi 6,Yes,In-display,Metal Frame Glass Back,190,IP67
15,Realme,Realme Pro 15,97944,2020,Android 14,Dimensity 920,Apple GPU,4,64,No,6.7,Super AMOLED,1440x3200,60,5000,25,No,108,12,12,50,4K@60fps,No,No,5.1,WiFi 5,No,Rear-mounted,"Glass Front, Plastic Back",164,IP67
16,Motorola,Motorola Pro 16,52624,2024,Android 14,Snapdragon 7 Gen 1,Xclipse 920,16,512,Yes,6.7,IPS LCD,1080x2400,60,5000,45,Yes,64,50,32,50,8K@24fps,No,No,5.2,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,170,IP67
17,OnePlus,OnePlus Pro 17,20279,2022,Android 14,Snapdragon 8 Gen 1,Apple GPU,12,256,Yes,6.4,OLED,1440x3200,60,4000,80,No,64,16,32,50,8K@24fps,Yes,No,5,WiFi 5,Yes,Rear-mounted,"Glass Front, Plastic Back",196,IP67
18,Nothing,Nothing Pro 18,128814,2025,Android 14,A16 Bionic,Mali-G710,16,256,No,6.1,Super AMOLED,720x1600,144,5000,25,Yes,64,8,12,32,1080p@60fps,Yes,No,5,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,218,IP52
19,Realme,Realme Pro 19,103078,2022,iOS 17,Snapdragon 7 Gen 1,Xclipse 920,6,1024,Yes,6.7,IPS LCD,1440x3200,90,5000,120,Yes,48,12,32,16,8K@24fps,No,Yes,5,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",225,IP53
20,OnePlus,OnePlus Pro 20,102024,2021,iOS 16,Snapdragon 8 Gen 2,Xclipse 920,8,512,Yes,6.4,OLED,1080x2400,144,4000,120,Yes,200,8,32,16,4K@30fps,Yes,Yes,5,WiFi 5,No,In-display,Metal Frame Glass Back,221,No Rating
21,Nothing,Nothing Pro 21,103679,2024,Android 13,A16 Bionic,Adreno 730,4,64,Yes,6.7,LTPO AMOLED,720x1600,120,6000,33,Yes,64,8,12,32,8K@24fps,Yes,Yes,5.1,WiFi 6E,No,In-display,Metal Frame Glass Back,229,IP68
22,OnePlus,OnePlus Pro 22,64108,2021,iOS 16,Exynos 2200,Xclipse 920,12,1024,No,6.1,Super AMOLED,1440x3200,144,4500,33,Yes,108,50,8,8,4K@30fps,No,No,5.1,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",163,No Rating
23,Nothing,Nothing Pro 23,19223,2024,Android 14,A16 Bionic,Mali-G710,12,1024,No,6.7,LTPO AMOLED,720x1600,120,4500,18,Yes,108,16,8,8,4K@60fps,Yes,Yes,5.1,WiFi 6E,Yes,Rear-mounted,Glass Front/Back,213,No Rating
24,Xiaomi,Xiaomi Pro 24,139718,2023,iOS 17,Dimensity 8200,Apple GPU,4,128,Yes,6.5,AMOLED,720x1600,120,4000,33,Yes,200,8,32,50,4K@30fps,No,Yes,5.3,WiFi 6,No,In-display,Metal Frame Glass Back,237,IP52
25,Nothing,Nothing Pro 25,64712,2024,iOS 16,A16 Bionic,Apple GPU,4,1024,No,6.1,OLED,1080x2400,90,6000,80,Yes,64,16,12,50,4K@30fps,No,Yes,5.2,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,173,IP52
26,Samsung,Samsung Pro 26,26262,2022,Android 13,Exynos 2200,Xclipse 920,4,128,No,6.1,OLED,720x1600,90,6000,65,Yes,50,50,8,32,1080p@60fps,Yes,Yes,5.2,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",191,IP68
27,Motorola,Motorola Pro 27,80833,2026,Android 14,Snapdragon 8 Gen 2,Adreno 740,6,128,No,6.4,AMOLED,1080x2400,90,5000,120,No,108,12,8,50,4K@30fps,No,No,5.2,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,186,IP68
28,Oppo,Oppo Pro 28,15468,2021,Android 13,Exynos 2200,Apple GPU,6,128,Yes,6.8,LTPO AMOLED,1080x2400,90,5500,25,No,50,8,8,32,4K@60fps,No,No,5.1,WiFi 5,No,Rear-mounted,"Glass Front, Plastic Back",192,IP53
29,Samsung,Samsung Pro 29,129704,2024,Android 14,Dimensity 8200,Mali-G710,6,256,Yes,6.5,AMOLED,1080x2400,60,6000,65,No,108,8,12,32,1080p@60fps,No,Yes,5.3,WiFi 6,Yes,Rear-mounted,Metal Frame Glass Back,229,IP52
30,OnePlus,OnePlus Pro 30,46667,2023,iOS 17,Exynos 2200,Adreno 730,6,64,No,6.5,LTPO AMOLED,1080x2400,144,5500,120,Yes,108,16,32,8,1080p@60fps,Yes,Yes,5.1,WiFi 6,No,Side-mounted,"Glass Front, Plastic Back",236,IP68
31,Nokia,Nokia Pro 31,34700,2026,iOS 17,Exynos 2200,Adreno 730,6,256,No,6.4,OLED,1440x3200,60,4000,25,Yes,108,12,32,32,4K@30fps,Yes,No,5,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,217,IP53
32,Nokia,Nokia Pro 32,51889,2022,Android 13,Snapdragon 8 Gen 1,Adreno 730,8,512,Yes,6.7,LTPO AMOLED,1080x2400,60,6000,65,Yes,108,8,32,32,8K@24fps,Yes,Yes,5.3,WiFi 6,Yes,Rear-mounted,Metal Frame Glass Back,192,IP67
33,Realme,Realme Pro 33,142809,2020,iOS 16,Dimensity 8200,Mali-G710,4,64,Yes,6.8,AMOLED,1080x2400,90,5000,45,Yes,64,8,12,32,4K@60fps,No,No,5.2,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,174,IP53
34,Oppo,Oppo Pro 34,59688,2024,Android 14,Exynos 2200,Apple GPU,4,1024,Yes,6.1,IPS LCD,720x1600,60,4500,25,Yes,50,16,8,50,4K@30fps,Yes,No,5,WiFi 5,Yes,Rear-mounted,"Glass Front, Plastic Back",224,IP68
35,OnePlus,OnePlus Pro 35,27733,2023,Android 14,Snapdragon 8 Gen 2,Adreno 730,8,64,Yes,6.8,Super AMOLED,1440x3200,90,4000,120,No,108,12,8,16,4K@60fps,No,Yes,5,WiFi 5,Yes,In-display,Glass Front/Back,236,IP52
36,Oppo,Oppo Pro 36,81106,2024,Android 13,Dimensity 8200,Apple GPU,4,128,No,6.5,IPS LCD,1080x2400,90,4000,33,Yes,50,50,12,16,4K@30fps,Yes,Yes,5.2,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",191,IP53
37,Nothing,Nothing Pro 37,35699,2022,iOS 16,Snapdragon 8 Gen 1,Xclipse 920,12,128,Yes,6.5,LTPO AMOLED,1080x2400,60,5500,33,Yes,48,12,8,8,8K@24fps,Yes,Yes,5,WiFi 6,No,Side-mounted,"Glass Front, Plastic Back",175,IP68
38,Realme,Realme Pro 38,30353,2026,iOS 16,Dimensity 8200,Apple GPU,8,1024,Yes,6.5,IPS LCD,1080x2400,90,6000,80,No,64,8,8,32,4K@30fps,No,No,5,WiFi 6,Yes,In-display,Metal Frame Glass Back,202,IP52
39,OnePlus,OnePlus Pro 39,85126,2024,iOS 17,Dimensity 920,Xclipse 920,6,1024,Yes,6.5,AMOLED,1440x3200,144,5500,33,Yes,108,12,8,50,4K@30fps,Yes,No,5.3,WiFi 6,Yes,Rear-mounted,Glass Front/Back,230,No Rating
40,Vivo,Vivo Pro 40,57681,2021,iOS 17,A16 Bionic,Mali-G710,4,128,No,6.4,IPS LCD,1440x3200,90,4000,33,Yes,200,50,32,50,1080p@60fps,No,No,5.2,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,200,IP53
41,Motorola,Motorola Pro 41,96087,2022,Android 13,Snapdragon 8 Gen 1,Apple GPU,4,64,Yes,6.1,Super AMOLED,1440x3200,144,6000,18,Yes,48,16,8,50,4K@30fps,No,Yes,5.3,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,200,IP53
42,Nothing,Nothing Pro 42,133492,2022,iOS 16,A16 Bionic,Adreno 740,6,128,No,6.1,LTPO AMOLED,1080x2400,90,4500,80,No,48,8,12,50,1080p@60fps,No,Yes,5,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",183,IP52
43,Apple,Apple Pro 43,76240,2025,iOS 17,Exynos 2200,Adreno 730,8,512,Yes,6.4,OLED,720x1600,120,5500,120,Yes,108,12,32,16,4K@30fps,Yes,No,5.1,WiFi 6E,Yes,In-display,"Glass Front, Plastic Back",225,IP68
44,Vivo,Vivo Pro 44,25074,2026,iOS 17,A16 Bionic,Adreno 730,8,64,Yes,6.4,IPS LCD,1080x2400,60,6000,45,Yes,108,16,8,50,4K@30fps,Yes,Yes,5.1,WiFi 6E,Yes,Side-mounted,"Glass Front, Plastic Back",186,IP53
45,Vivo,Vivo Pro 45,95541,2020,iOS 16,Dimensity 8200,Xclipse 920,16,1024,No,6.5,LTPO AMOLED,1440x3200,120,5500,33,Yes,108,50,32,8,1080p@60fps,No,Yes,5.3,WiFi 5,No,Rear-mounted,"Glass Front, Plastic Back",208,IP68
46,Nokia,Nokia Pro 46,118915,2026,iOS 16,Dimensity 920,Mali-G710,12,256,Yes,6.4,IPS LCD,1440x3200,144,5000,25,Yes,108,50,8,50,4K@60fps,Yes,Yes,5.2,WiFi 6,No,In-display,Glass Front/Back,181,No Rating
47,Nothing,Nothing Pro 47,8251,2020,iOS 17,Dimensity 920,Adreno 730,16,64,No,6.7,Super AMOLED,720x1600,60,4500,25,Yes,200,12,12,32,4K@60fps,Yes,Yes,5.2,WiFi 6E,No,In-display,Glass Front/Back,163,IP53
48,Xiaomi,Xiaomi Pro 48,105781,2024,Android 14,Dimensity 8200,Adreno 740,4,64,Yes,6.4,Super AMOLED,1080x2400,60,6000,33,Yes,50,16,32,8,1080p@60fps,Yes,No,5.2,WiFi 6E,Yes,In-display,"Glass Front, Plastic Back",172,IP52
49,Motorola,Motorola Pro 49,86297,2020,iOS 17,Snapdragon 8 Gen 2,Xclipse 920,16,64,No,6.1,AMOLED,720x1600,120,6000,80,No,50,8,8,50,1080p@60fps,Yes,No,5.1,WiFi 6E,No,Side-mounted,Metal Frame Glass Back,228,No Rating
50,Apple,Apple Pro 50,91966,2023,iOS 16,A16 Bionic,Apple GPU,16,512,No,6.1,IPS LCD,720x1600,144,4500,25,Yes,50,8,12,8,8K@24fps,Yes,No,5.2,WiFi 6E,Yes,Side-mounted,Metal Frame Glass Back,165,IP53
51,Xiaomi,Xiaomi Pro 51,68577,2024,Android 13,Dimensity 8200,Adreno 730,12,256,No,6.1,Super AMOLED,1080x2400,90,6000,120,Yes,64,8,32,50,4K@60fps,Yes,Yes,5.2,WiFi 6,Yes,In-display,Metal Frame Glass Back,161,IP67
52,Nokia,Nokia Pro 52,81442,2023,iOS 17,Snapdragon 8 Gen 2,Adreno 740,6,512,Yes,6.4,LTPO AMOLED,720x1600,144,5000,80,No,50,12,12,8,8K@24fps,Yes,No,5.2,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",169,No Rating
53,Motorola,Motorola Pro 53,95436,2025,Android 14,Snapdragon 8 Gen 2,Adreno 740,16,512,No,6.5,AMOLED,1440x3200,120,4000,33,No,64,50,32,32,1080p@60fps,No,Yes,5.3,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",171,IP67
54,Vivo,Vivo Pro 54,11344,2023,Android 13,Snapdragon 8 Gen 2,Mali-G710,4,128,No,6.8,IPS LCD,720x1600,60,6000,33,No,48,16,32,8,4K@30fps,No,No,5.1,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,168,IP67
55,Vivo,Vivo Pro 55,74826,2020,Android 14,Snapdragon 8 Gen 1,Adreno 730,4,64,Yes,6.5,OLED,720x1600,90,5500,25,Yes,50,50,32,50,4K@60fps,Yes,Yes,5,WiFi 5,Yes,Side-mounted,Metal Frame Glass Back,176,No Rating
56,Oppo,Oppo Pro 56,87165,2022,iOS 17,Exynos 2200,Mali-G710,12,1024,No,6.8,AMOLED,720x1600,144,5000,18,Yes,48,50,32,16,4K@60fps,No,Yes,5.2,WiFi 5,Yes,Side-mounted,"Glass Front, Plastic Back",211,IP53
57,Xiaomi,Xiaomi Pro 57,142981,2021,Android 13,Exynos 2200,Adreno 740,4,1024,Yes,6.8,LTPO AMOLED,1440x3200,90,4000,33,No,108,50,32,50,4K@30fps,No,No,5.2,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",193,IP68
58,Oppo,Oppo Pro 58,84755,2022,Android 13,Snapdragon 8 Gen 2,Mali-G710,16,1024,No,6.7,OLED,1440x3200,144,4000,120,Yes,50,12,12,32,1080p@60fps,Yes,Yes,5.2,WiFi 5,Yes,Rear-mounted,Glass Front/Back,193,IP52
59,Nothing,Nothing Pro 59,98834,2024,iOS 16,Dimensity 920,Adreno 740,12,64,No,6.1,OLED,1440x3200,120,5000,18,No,50,16,32,8,8K@24fps,No,No,5.3,WiFi 5,No,In-display,"Glass Front, Plastic Back",230,IP53
60,Xiaomi,Xiaomi Pro 60,38091,2025,iOS 16,A16 Bionic,Adreno 740,4,512,Yes,6.1,OLED,1080x2400,120,5000,18,Yes,108,16,8,16,4K@60fps,Yes,Yes,5,WiFi 6,No,In-display,"Glass Front, Plastic Back",226,No Rating
61,Realme,Realme Pro 61,110076,2021,Android 13,Snapdragon 7 Gen 1,Adreno 740,16,1024,No,6.1,OLED,1440x3200,60,5000,80,Yes,48,16,12,16,4K@60fps,Yes,Yes,5,WiFi 6,Yes,Side-mounted,Glass Front/Back,189,IP52
62,Samsung,Samsung Pro 62,63799,2020,iOS 16,Snapdragon 7 Gen 1,Adreno 740,6,512,Yes,6.4,IPS LCD,720x1600,90,4500,80,Yes,50,8,12,50,4K@30fps,Yes,Yes,5.3,WiFi 6E,Yes,Side-mounted,Metal Frame Glass Back,180,IP52
63,Samsung,Samsung Pro 63,136833,2023,iOS 17,Dimensity 920,Xclipse 920,4,256,Yes,6.7,AMOLED,1080x2400,60,4000,65,Yes,48,12,32,8,4K@60fps,Yes,No,5.1,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,205,IP68
64,Samsung,Samsung Pro 64,30835,2021,iOS 16,Snapdragon 7 Gen 1,Mali-G710,6,512,No,6.8,Super AMOLED,1440x3200,120,6000,25,Yes,50,50,32,16,1080p@60fps,Yes,No,5,WiFi 6,Yes,Rear-mounted,Glass Front/Back,173,IP68
65,Vivo,Vivo Pro 65,124226,2023,Android 14,Dimensity 8200,Xclipse 920,12,128,Yes,6.1,OLED,1080x2400,60,4000,25,No,50,16,32,16,1080p@60fps,Yes,Yes,5.2,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,167,IP68
66,Motorola,Motorola Pro 66,40153,2024,iOS 16,A16 Bionic,Xclipse 920,6,1024,No,6.7,Super AMOLED,1080x2400,90,5500,120,No,200,16,12,8,1080p@60fps,No,Yes,5.3,WiFi 5,No,Side-mounted,Metal Frame Glass Back,183,IP68
67,Realme,Realme Pro 67,73993,2020,iOS 17,Snapdragon 8 Gen 2,Adreno 730,8,1024,Yes,6.1,OLED,1080x2400,60,5500,120,Yes,48,8,8,16,1080p@60fps,Yes,Yes,5.2,WiFi 6,Yes,Rear-mounted,"Glass Front, Plastic Back",182,IP52
68,Oppo,Oppo Pro 68,143446,2022,iOS 16,Dimensity 8200,Apple GPU,16,128,Yes,6.5,Super AMOLED,1440x3200,60,4000,33,Yes,64,50,12,16,8K@24fps,Yes,No,5.2,WiFi 5,No,Rear-mounted,"Glass Front, Plastic Back",219,No Rating
69,Vivo,Vivo Pro 69,8979,2024,iOS 17,Exynos 2200,Adreno 730,6,256,No,6.8,IPS LCD,1080x2400,90,5000,65,No,108,12,12,32,4K@30fps,Yes,No,5.2,WiFi 5,Yes,Rear-mounted,Metal Frame Glass Back,235,IP68
70,Apple,Apple Pro 70,8904,2025,iOS 16,Snapdragon 8 Gen 2,Mali-G710,8,512,Yes,6.7,AMOLED,720x1600,90,5000,80,Yes,50,12,8,8,4K@60fps,No,No,5,WiFi 6,No,Rear-mounted,Glass Front/Back,172,IP52
71,Samsung,Samsung Pro 71,21793,2021,Android 14,Exynos 2200,Adreno 740,8,128,Yes,6.8,LTPO AMOLED,720x1600,120,4500,65,Yes,50,12,32,32,4K@30fps,No,Yes,5,WiFi 6,No,In-display,"Glass Front, Plastic Back",234,IP67
72,OnePlus,OnePlus Pro 72,109561,2022,Android 13,Exynos 2200,Xclipse 920,12,1024,No,6.1,IPS LCD,1440x3200,90,4000,45,No,64,12,32,32,4K@30fps,No,Yes,5.1,WiFi 5,No,In-display,Metal Frame Glass Back,207,IP53
73,OnePlus,OnePlus Pro 73,128573,2025,iOS 16,A16 Bionic,Xclipse 920,8,1024,Yes,6.5,LTPO AMOLED,720x1600,120,4500,18,No,200,50,12,16,8K@24fps,No,Yes,5.3,WiFi 5,No,Side-mounted,Glass Front/Back,216,IP52
74,Realme,Realme Pro 74,107376,2021,Android 14,Snapdragon 7 Gen 1,Adreno 730,4,512,Yes,6.1,AMOLED,1080x2400,120,5000,65,No,108,12,12,16,1080p@60fps,Yes,No,5,WiFi 6,No,Rear-mounted,"Glass Front, Plastic Back",181,IP53
75,Realme,Realme Pro 75,111290,2020,iOS 17,Snapdragon 8 Gen 1,Mali-G710,6,128,No,6.8,OLED,1440x3200,120,5500,80,Yes,50,16,32,50,8K@24fps,No,No,5.3,WiFi 6E,Yes,Side-mounted,Metal Frame Glass Back,169,IP68
76,Xiaomi,Xiaomi Pro 76,40922,2024,Android 14,Exynos 2200,Apple GPU,16,256,No,6.4,IPS LCD,1440x3200,144,4000,33,No,48,50,8,50,4K@30fps,Yes,No,5,WiFi 5,No,Side-mounted,Metal Frame Glass Back,200,IP68
77,Apple,Apple Pro 77,64957,2021,Android 13,Snapdragon 7 Gen 1,Xclipse 920,12,512,Yes,6.5,AMOLED,720x1600,60,5000,33,Yes,200,16,8,16,8K@24fps,Yes,No,5.3,WiFi 6,Yes,In-display,Glass Front/Back,160,IP67
78,Samsung,Samsung Pro 78,13835,2020,iOS 16,Snapdragon 7 Gen 1,Apple GPU,4,64,No,6.4,Super AMOLED,1440x3200,90,4000,80,No,64,8,12,32,8K@24fps,No,No,5.2,WiFi 6,Yes,Rear-mounted,Glass Front/Back,206,No Rating
79,Apple,Apple Pro 79,75573,2022,iOS 17,Dimensity 8200,Mali-G710,6,256,No,6.4,AMOLED,720x1600,90,5500,33,No,108,12,32,50,4K@60fps,No,No,5.2,WiFi 5,Yes,In-display,Metal Frame Glass Back,176,IP67
80,Vivo,Vivo Pro 80,115002,2023,iOS 17,Snapdragon 8 Gen 1,Mali-G710,8,256,No,6.7,LTPO AMOLED,1080x2400,120,5000,33,Yes,108,8,12,50,4K@60fps,No,Yes,5.2,WiFi 5,No,Side-mounted,Metal Frame Glass Back,206,IP53
81,Vivo,Vivo Pro 81,8161,2024,Android 13,Dimensity 920,Mali-G710,16,1024,Yes,6.8,AMOLED,1080x2400,120,5000,33,No,50,12,32,8,4K@60fps,No,No,5.2,WiFi 6E,Yes,Side-mounted,Glass Front/Back,230,IP53
82,Motorola,Motorola Pro 82,97509,2023,iOS 16,Snapdragon 8 Gen 2,Adreno 740,6,512,No,6.1,AMOLED,720x1600,60,6000,120,No,50,50,8,16,8K@24fps,Yes,No,5.3,WiFi 6,No,In-display,"Glass Front, Plastic Back",174,IP52
83,Nothing,Nothing Pro 83,114532,2022,Android 13,Snapdragon 7 Gen 1,Adreno 730,4,1024,No,6.1,OLED,720x1600,144,4000,45,Yes,48,50,12,50,4K@60fps,No,No,5.3,WiFi 6,No,Side-mounted,Glass Front/Back,177,IP52
84,Apple,Apple Pro 84,100951,2024,iOS 16,Dimensity 920,Apple GPU,8,512,No,6.1,Super AMOLED,720x1600,120,5000,120,Yes,108,8,32,8,8K@24fps,No,Yes,5.2,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,198,No Rating
85,Motorola,Motorola Pro 85,15028,2026,iOS 16,Dimensity 920,Mali-G710,4,128,Yes,6.8,AMOLED,1440x3200,90,6000,120,Yes,64,8,32,32,8K@24fps,No,Yes,5.1,WiFi 5,No,Side-mounted,Metal Frame Glass Back,162,IP53
86,Vivo,Vivo Pro 86,49512,2022,Android 13,Snapdragon 8 Gen 2,Xclipse 920,4,512,Yes,6.7,OLED,720x1600,120,6000,45,Yes,108,50,8,8,4K@30fps,Yes,No,5.1,WiFi 6E,Yes,Side-mounted,Glass Front/Back,203,IP52
87,OnePlus,OnePlus Pro 87,132029,2021,Android 13,Dimensity 920,Adreno 740,16,64,No,6.1,OLED,1440x3200,90,5000,65,No,64,12,12,8,8K@24fps,Yes,No,5,WiFi 6,No,In-display,Glass Front/Back,190,IP52
88,Vivo,Vivo Pro 88,83143,2022,iOS 16,Exynos 2200,Xclipse 920,8,64,No,6.5,Super AMOLED,1080x2400,90,5500,18,Yes,108,8,8,8,8K@24fps,Yes,Yes,5.3,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",199,IP67
89,Realme,Realme Pro 89,14461,2021,Android 13,A16 Bionic,Apple GPU,6,512,No,6.5,Super AMOLED,1440x3200,90,4000,25,No,50,8,12,16,8K@24fps,Yes,No,5.3,WiFi 6E,Yes,Rear-mounted,"Glass Front, Plastic Back",224,IP68
90,Xiaomi,Xiaomi Pro 90,8663,2023,Android 14,Exynos 2200,Apple GPU,16,512,Yes,6.5,Super AMOLED,1440x3200,144,4000,120,No,200,16,12,50,4K@60fps,No,No,5.3,WiFi 5,Yes,In-display,"Glass Front, Plastic Back",164,IP67
91,Realme,Realme Pro 91,100020,2026,iOS 17,Snapdragon 8 Gen 1,Adreno 740,6,64,Yes,6.5,LTPO AMOLED,1080x2400,120,4000,80,No,48,16,12,50,4K@60fps,Yes,Yes,5.1,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,235,IP68
92,Nothing,Nothing Pro 92,33211,2022,Android 13,Snapdragon 8 Gen 2,Apple GPU,16,256,No,6.4,LTPO AMOLED,1080x2400,144,4500,80,No,64,50,12,8,1080p@60fps,No,No,5,WiFi 6E,No,Rear-mounted,Metal Frame Glass Back,183,IP67
93,Realme,Realme Pro 93,59018,2025,iOS 17,Dimensity 8200,Xclipse 920,4,64,Yes,6.7,IPS LCD,1440x3200,60,5000,18,No,64,16,8,8,1080p@60fps,Yes,Yes,5,WiFi 6,No,In-display,Glass Front/Back,172,IP52
94,Vivo,Vivo Pro 94,51652,2022,iOS 16,Dimensity 920,Mali-G710,4,512,Yes,6.4,AMOLED,720x1600,120,4000,25,No,108,50,8,8,1080p@60fps,No,No,5.1,WiFi 6E,No,In-display,"Glass Front, Plastic Back",191,No Rating
95,Nokia,Nokia Pro 95,19149,2026,iOS 17,A16 Bionic,Adreno 730,8,512,No,6.5,IPS LCD,720x1600,120,4000,33,No,50,50,32,50,4K@60fps,Yes,Yes,5.1,WiFi 5,No,Side-mounted,Metal Frame Glass Back,183,IP68
96,Apple,Apple Pro 96,104492,2026,iOS 17,Dimensity 920,Adreno 730,16,256,Yes,6.7,IPS LCD,1440x3200,120,5000,120,Yes,48,50,8,32,8K@24fps,Yes,Yes,5,WiFi 6,Yes,In-display,"Glass Front, Plastic Back",181,IP68
